date_heure	date	heure	H_cumul	BAC	Ligne	C1	C2	C3	C4	C5	F1	F2	F3	F4	F5	CD1	CD2	CD3	CD4	CD5	T1	T2	T3	T4	T5	S1	S2	S3	S4	S5
28/1/22 17:00	28/01/2022	17:00	168	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	D	ANC	ANC	ANC	ANC
28/1/22 17:00	28/01/2022	17:00	168	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ST	ANC	ANC
28/1/22 17:00	28/01/2022	17:00	168	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	AR	ANC	ANC	ANC
31/1/22 9:00	31/01/2022	09:00	232	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	D	D	ANC	ANC
31/1/22 9:00	31/01/2022	09:00	232	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	D	ANC	ANC
31/1/22 9:00	31/01/2022	09:00	232	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	D	D	D	D	ANC
31/1/22 9:00	31/01/2022	09:00	232	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	D	ANC	ST	D	D
31/1/22 9:00	31/01/2022	09:00	232	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	D	D	D	D	D
22/1/22 12:00	22/01/2022	12:00	19	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC
22/1/22 12:00	22/01/2022	12:00	19	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	ANC	AR
22/1/22 12:00	22/01/2022	12:00	19	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	ANC	ANC
22/1/22 12:00	22/01/2022	12:00	19	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	AR
22/1/22 12:00	22/01/2022	12:00	19	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	AR	AR
22/1/22 17:30	22/01/2022	17:30	24,5	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC
22/1/22 17:30	22/01/2022	17:30	24,5	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	ANC	ANC	ANC	ANC
22/1/22 17:30	22/01/2022	17:30	24,5	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
22/1/22 17:30	22/01/2022	17:30	24,5	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
22/1/22 17:30	22/01/2022	17:30	24,5	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	AR	AR	AR	ANC
23/1/22 10:00	23/01/2022	10:00	41	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC
23/1/22 10:00	23/01/2022	10:00	41	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
23/1/22 10:00	23/01/2022	10:00	41	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
23/1/22 10:00	23/01/2022	10:00	41	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
23/1/22 10:00	23/01/2022	10:00	41	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	AR	ANC
23/1/22 17:00	23/01/2022	17:00	48	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC
23/1/22 17:00	23/01/2022	17:00	48	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
23/1/22 17:00	23/01/2022	17:00	48	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
23/1/22 17:00	23/01/2022	17:00	48	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
23/1/22 17:00	23/01/2022	17:00	48	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	AR	ANC
24/1/22 14:00	24/01/2022	14:00	69	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC
24/1/22 14:00	24/01/2022	14:00	69	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
24/1/22 14:00	24/01/2022	14:00	69	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
24/1/22 14:00	24/01/2022	14:00	69	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
24/1/22 14:00	24/01/2022	14:00	69	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
24/1/22 17:00	24/01/2022	17:00	72	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC
24/1/22 17:00	24/01/2022	17:00	72	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
24/1/22 17:00	24/01/2022	17:00	72	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
24/1/22 17:00	24/01/2022	17:00	72	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
24/1/22 17:00	24/01/2022	17:00	72	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
25/1/22 10:00	25/01/2022	10:00	89	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC
25/1/22 10:00	25/01/2022	10:00	89	2	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
25/1/22 10:00	25/01/2022	10:00	89	2	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
25/1/22 10:00	25/01/2022	10:00	89	2	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	D	ANC	ANC
25/1/22 10:00	25/01/2022	10:00	89	2	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
25/1/22 17:00	25/01/2022	17:00	96	2	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	NA	ANC	ANC	ANC
