"H_cumul"	"Traitement"	"BAC"	"Individu"	"Ligne"	"variable"	"hauteur"	"nb_feuille"	"Nb_cotyledon"	"Nb_Tige"	"Developpement"	"Jour"
"146"	263	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	91	NA	2	NA	"D"	11
"147"	263	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	85	NA	2	NA	"D"	11
"148"	263	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	88	NA	2	NA	"D"	11
"149"	263	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	63	NA	2	NA	"D"	11
"150"	263	"IRD_012022"	"2"	"AS146"	"T"	"C1"	69	NA	2	NA	"D"	11
"151"	287	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	12
"152"	287	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	NA	"ANC"	12
"153"	287	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	77	NA	2	NA	"D"	12
"154"	287	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	39	NA	2	NA	"D"	12
"155"	287	"IRD_012022"	"1"	"AS141"	"T"	"C1"	45	NA	2	NA	"D"	12
"156"	287	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	100	NA	2	NA	"D"	12
"157"	287	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	99	NA	2	NA	"D"	12
"158"	287	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	109	NA	2	NA	"D"	12
"159"	287	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	73	NA	2	NA	"D"	12
"160"	287	"IRD_012022"	"2"	"AS146"	"T"	"C1"	76	NA	2	NA	"D"	12
"161"	313	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	NA	NA	2	1	"ANC"	13
"162"	313	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	"ANC"	13
"163"	313	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	90	NA	2	1	"D"	13
"164"	313	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	47	NA	2	1	"D"	13
"165"	313	"IRD_012022"	"1"	"AS141"	"T"	"C1"	54	NA	2	1	"D"	13
"166"	313	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	112	NA	2	1	"D"	13
"167"	313	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	108	NA	2	1	"D"	13
"168"	313	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	114	NA	2	1	"D"	13
"169"	313	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	85	NA	2	1	"D"	13
"170"	313	"IRD_012022"	"2"	"AS146"	"T"	"C1"	93	NA	2	1	"D"	13
"171"	335	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	NA	NA	2	1	"ANC"	14
"172"	335	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	"ANC"	14
"173"	335	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	99	NA	2	1	"D"	14
"174"	335	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	54	NA	2	1	"D"	14
"175"	335	"IRD_012022"	"1"	"AS141"	"T"	"C1"	64	NA	2	1	"D"	14
"176"	335	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	119	NA	2	1	"D"	14
"177"	335	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	117	NA	2	1	"D"	14
"178"	335	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	123	NA	2	1	"D"	14
"179"	335	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	92	NA	2	1	"D"	14
"180"	335	"IRD_012022"	"2"	"AS146"	"T"	"C1"	98	NA	2	1	"D"	14
"181"	407	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	68	NA	2	1	"D"	17
"182"	407	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	NA	1	NA	17
"183"	407	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	111	NA	2	1	"D"	17
"184"	407	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	74	NA	2	1	"D"	17
"185"	407	"IRD_012022"	"1"	"AS141"	"T"	"C1"	87	NA	2	1	"D"	17
"186"	407	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	124	NA	2	1	"D"	17
"187"	407	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	110	NA	2	1	"D"	17
"188"	407	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	139	NA	2	1	"D"	17
"189"	407	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	95	NA	2	1	"D"	17
"190"	407	"IRD_012022"	"2"	"AS146"	"T"	"C1"	91	NA	2	1	"D"	17
